cik,filingdate,complexity,log_netfilesize,json_complexity_score
8947,20210423,0.43305549,12.361981,0.2998029866087999
9092,20160226,0.33919454,12.244308,0.22254950090001635
9092,20170228,0.26392731,12.585823,0.17528877702368645
9092,20180301,0.3748726,12.311351,0.2563320109856576
9346,20160304,0.25558069,12.423134,0.184732409671285
9346,20170306,0.27301908,12.522047,0.1896551724137931
9346,20180313,0.23029232,12.531697,0.16499247828407823
9346,20190307,0.22397982,12.998128,0.1632751791491549
9346,20200306,0.20386527,12.861238,0.12800996401882092
9346,20210311,0.24103382,12.496314,0.17127169231544215
9984,20160224,0.41092128,13.023632,0.32000469731665787
9984,20170221,0.18687655,14.109508,0.1390222104531462
9984,20180220,0.46066841,13.096444,0.3354337552284209
9984,20190226,0.48183793,13.162628,0.3552101767074453
9984,20200225,0.53668326,12.868297,0.40266377574725104
9984,20210222,0.63406956,12.791862,0.4988132324580923
10048,20161220,0.27969325,12.696473,0.201244429841674
10048,20171221,0.3105112,12.636796,0.22739696075215918
10048,20181220,0.30956632,12.652843,0.21093413689195006
10048,20191223,0.29427385,12.771847,0.20352652502234986
10048,20201216,0.26863831,12.615669,0.19074971066055124
10048,20211221,0.22977863,12.954756,0.15743263699666968
10254,20190312,0.51092124,13.041689,0.37308595381800896
10254,20200311,0.52398717,13.083554,0.38529236483583496
10254,20210310,0.40653482,12.877953,0.2883922134102379
10795,20171122,0.7564503,12.796198,0.5308358769219103
10795,20181121,0.48954993,13.228791,0.3439169686175766
10795,20191127,0.56598216,12.834849,0.3846706931262583
10795,20201125,0.57937884,12.89297,0.4069651077456802
10795,20211124,0.76321435,13.211708,0.5984901456523543
11199,20160219,0.7027697,12.390575,0.5236051502145923
11199,20170217,0.76585317,12.393577,0.5723234624145787
11199,20180223,0.75468373,12.530429,0.5555829917526791
11199,20190215,0.71753788,12.54565,0.5383514804665713
11544,20160222,0.33930421,12.867065,0.2120410308456269
11544,20170228,0.37489647,12.95474,0.2428281948654397
11544,20180223,0.37510446,12.969226,0.23857709330832388
11544,20190222,0.37471956,12.743039,0.24010564648445318
11544,20200220,0.37442741,12.897529,0.25442703032770203
11544,20210218,0.36909547,12.904243,0.2618668788119862
12208,20160229,0.60210341,12.596208,0.42597282984112367
12208,20170301,0.65465939,12.427483,0.479409625898893
12208,20180416,0.62445378,12.603227,0.4622530892035718
12208,20190401,0.61231536,12.500095,0.4610835463338846
12208,20200302,0.65386522,12.528178,0.48716643641387336
12208,20210216,0.6360814,12.403299,0.486990780006019
12927,20160210,0.51415515,13.11724,0.3473952091776967
12927,20170208,0.42540133,13.266361,0.28568478298282446
12927,20180212,0.65031958,12.813485,0.42590388335069185
12927,20190208,0.56855893,12.541823,0.3607311463503208
12927,20200131,0.55893928,12.663624,0.3602521765235665
12927,20210201,0.56348521,12.81837,0.3636692599963814
14195,20160830,0.49572322,13.218237,0.3558207238615534
14195,20170829,0.78226131,12.613968,0.5405775283974271
14195,20180828,0.68552077,12.661758,0.4627127073017795
14195,20190827,0.53865397,12.55374,0.3774920372773387
14272,20160212,0.39400017,13.935819,0.286253520803575
14272,20170221,0.38505274,13.848654,0.28220180257187033
14272,20180213,0.38856351,13.865693,0.2788144218610246
14272,20190225,0.49818075,13.566163,0.3579467564777362
14272,20200224,0.32723308,14.922068,0.24909443792877975
14272,20210210,0.32741582,14.522904,0.23928215353938184
14693,20160616,0.5711112,12.610924,0.41696238466997876
14693,20170615,0.53974992,12.663054,0.39290240811153354
14693,20180613,0.52569145,12.738294,0.38706650506314266
14693,20190613,0.47723484,12.978101,0.3709816629063763
14693,20200619,0.42066476,12.818764,0.34157478363980676
14693,20210621,0.44985101,12.553036,0.3627343146661674
14707,20160329,0.50255102,12.941469,0.37691897050973033
14707,20170328,0.52666229,12.910575,0.38465414720999763
14707,20180404,0.54023314,12.95674,0.4091025313219126
14707,20190403,0.51683372,13.096383,0.4048919825840983
14707,20210330,0.57265717,12.765731,0.4602798948996515
14846,20161213,0.53434616,12.488986,0.3018520413383813
14846,20171214,0.48904899,12.652174,0.28088673782464024
14846,20181210,0.42395014,12.434776,0.23000387646982817
14846,20200515,0.61506355,12.563139,0.37350425379844604
14846,20210315,0.37843373,12.690167,0.2158132234647832
14930,20170217,0.70020765,13.087785,0.43423624685841944
14930,20180220,0.70594537,13.114196,0.4256476507785409
14930,20190219,0.65879017,13.193845,0.4049192042021337
14930,20200218,0.4302547,13.306141,0.2603938730853392
14930,20210216,0.4578073,13.059711,0.2871068037309879
15615,20160226,0.43226081,13.247319,0.3019280602905166
15615,20170224,0.49844882,13.173053,0.35016610443415463
15615,20180227,0.38142252,13.312613,0.2671533328202817
15615,20190228,0.39384928,13.218084,0.26191146413403993
15615,20200227,0.52342939,13.592898,0.3269790949152261
15615,20210225,0.27501482,13.293989,0.18022176067868878
16099,20161123,0.35046479,12.812149,0.20116348610884574
16099,20171113,0.34502959,12.805367,0.2012182852543582
16099,20181116,0.34491315,12.771574,0.19811694560274723
16099,20191126,0.37183523,12.70263,0.21841567739195505
16099,20201209,0.34299967,12.657314,0.2011576829919126
16099,20211119,0.30787826,12.468553,0.16565706515020398
16160,20160718,0.2924917,12.505302,0.17130620985010706
16160,20170724,0.35359487,12.539816,0.20665523800577698
16160,20180723,0.36882839,12.545198,0.23128139236070552
16160,20190722,0.32287353,12.326926,0.17507605763159406
16160,20200720,0.30487803,12.270183,0.19032082653616098
16732,20160922,0.85305262,12.770684,0.6224421814028743
16732,20170927,0.6769219,12.834713,0.5026464423999147
16732,20180927,0.75580561,12.87969,0.5466627944718725
16732,20190926,0.82164502,12.876264,0.577864668938909
16732,20200924,0.61971426,12.664636,0.422162480047047
16732,20210923,0.57571024,12.744972,0.3857965451055662
16875,20170216,0.50540495,13.057656,0.33648999758635867
16875,20180216,0.42815095,12.820504,0.2916912725255454
16875,20190215,0.42093241,12.876002,0.286934359545631
16875,20200220,0.39103743,12.945015,0.26637664712187126
16875,20210218,0.25302121,13.022441,0.17640984452986058
16918,20160425,0.59132075,13.134212,0.407519741325174
16918,20170427,0.68991059,12.975977,0.46835443037974683
16918,20180423,0.56307495,13.055618,0.38987202342130817
16918,20190423,0.6148386,13.053746,0.4277084527536487
16918,20200421,0.5689137,13.013936,0.3938353619569902
16918,20210420,0.59704792,12.970572,0.4235085466165183
17313,20170601,0.25390863,13.021398,0.15245913655354396
17313,20180605,0.27621561,13.353421,0.1737001266127429
